session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,Cosa,Cosa (subcategories),start time,end time,elapsed time,total time,[Con Chi] Paziente,[Con Chi] Parente/badante,[Con Chi] Infermiere,[Con Chi] Medico/consulente,[Con Chi] OSS,[Con Chi] Specializzando,[Con Chi] Tecnico,[Con Chi] Altro,[Come] PC carrello,[Come] PC scrivania,[Come] Documenti,[Come] Telefono,[Come] Altro,Dove,ended by,multi with,num of multitask fragments,num of tasks in multi 1,multi task id 1,multi start 1,multi end 1,num of tasks in multi 2,multi task id 2,multi start 2,multi end 2,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,Participant: Age,Participant: Occupation,is session complete?
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_344,Igiene Mani,0,10:14:49,10:14:55,00:00:06,00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_146_345,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:06,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_345,Terapia,Lettura prescrizione,10:14:55,10:15:08,00:00:13,00:00:13,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_346,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:13,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_346,Terapia,Allestimento/Riordino/smaltimento,10:15:08,10:15:15,00:00:07,00:00:07,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_347,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:07,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_347,Terapia,Preparazione farmaco,10:15:15,10:16:55,00:01:40,00:01:00,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_350,34_146_349,1,2,34_146_349,10:16:16,10:16:54,"","","","",00:00:38,false,34_146_348,1,34_146_348,10:15:24,10:16:04,00:00:09,00:00:51,00:00:40,"","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_348,ComProfessionale,0,10:15:24,10:16:04,00:00:40,00:00:40,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,"",0,"","","","","","","","",00:00:00,true,"",0,"","","",00:00:40,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_349,ComProfessionale,0,10:16:16,10:16:54,00:00:38,00:00:38,0,1,0,0,0,0,0,0,0,0,0,0,0,Corridoio,user,34_146_347,1,2,34_146_347,10:16:16,10:16:54,"","","","",00:00:38,false,"",0,"","","",00:00:38,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_350,Terapia,Preparazione farmaco,10:16:55,10:17:03,00:00:08,00:00:08,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_351,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:08,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_351,Terapia,Allestimento/Riordino/smaltimento,10:17:03,10:17:09,00:00:06,00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,34_146_352,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:06,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_352,Terapia,Preparazione farmaco,10:17:09,10:17:38,00:00:29,00:00:29,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_353,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:29,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_353,Terapia,Somministrazione iniettabili,10:17:38,10:18:02,00:00:24,00:00:24,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_354,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:24,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_354,Terapia,Somministrazione pillole,10:18:02,10:18:08,00:00:06,00:00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_355,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:06,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_355,Terapia,Lettura prescrizione,10:18:08,10:19:22,00:01:14,00:01:14,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanze Servizio,user,34_146_356,1,2,34_146_356,10:18:19,10:19:22,"","","","",00:01:03,false,"",0,"","","",00:01:14,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_356,ComProfessionale,0,10:18:19,10:19:39,00:01:20,00:01:20,0,1,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_357,34_146_355,1,2,34_146_355,10:18:19,10:19:22,"","","","",00:01:03,false,"",0,"","","",00:01:20,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_357,Terapia,Lettura prescrizione,10:19:39,10:19:56,00:00:17,00:00:17,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridoio,34_146_358,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:17,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_358,ComProfessionale,0,10:19:56,10:20:07,00:00:11,00:00:11,0,1,0,0,0,0,0,0,0,0,0,0,0,Corridoio,34_146_359,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:11,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_359,Spostamenti,0,10:20:07,10:20:17,00:00:10,00:00:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_146_360,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:10,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_360,CuraDiretta,0,10:20:17,10:20:30,00:00:13,00:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_361,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:13,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_361,Spostamenti,0,10:20:30,10:21:44,00:01:14,00:01:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34_146_364,"34_146_362,34_146_363",2,2,34_146_362,10:20:45,10:21:20,2,34_146_363,10:21:22,10:21:41,00:00:54,false,"",0,"","","",00:01:14,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_362,ComProfessionale,0,10:20:45,10:21:20,00:00:35,00:00:35,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,34_146_361,1,2,34_146_361,10:20:45,10:21:20,"","","","",00:00:35,false,"",0,"","","",00:00:35,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_363,ComProfessionale,0,10:21:22,10:21:41,00:00:19,00:00:19,0,0,0,0,1,0,0,0,0,0,0,0,0,Corridoio,user,34_146_361,1,2,34_146_361,10:21:22,10:21:41,"","","","",00:00:19,false,"",0,"","","",00:00:19,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_364,Terapia,Preparazione farmaco,10:21:44,10:21:56,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34_146_365,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:12,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_365,Terapia,Somministrazione iniettabili,10:21:56,10:22:12,00:00:16,00:00:16,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_366,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:16,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_366,ComProfessionale,0,10:22:12,10:22:19,00:00:07,00:00:07,0,0,0,1,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_367,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:07,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_367,ComProfessionale,0,10:22:19,10:23:12,00:00:53,00:00:53,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,34_146_369,34_146_368,1,2,34_146_368,10:22:49,10:23:10,"","","","",00:00:21,false,"",0,"","","",00:00:53,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_368,Terapia,Somministrazione iniettabili,10:22:49,10:23:10,00:00:21,00:00:21,1,0,0,0,0,0,0,0,0,0,0,0,0,Stanza Paziente,user,34_146_367,1,2,34_146_367,10:22:49,10:23:10,"","","","",00:00:21,false,"",0,"","","",00:00:21,"","","","",TRUE
2018-11-15,34,146,s1,1,10:14:49,10:25:07,34_146_369,ComProfessionale,0,10:23:12,10:23:19,00:00:07,00:00:07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34_146_370,"",0,"","","","","","","","",00:00:00,false,"",0,"","","",00:00:07,"","","","",TRUE
